index; collection; s; q; avg; media; max; sigma; indexsize; inputsize
IDXNNQUANTILE; SOURCES; 16; 64;  413.67876;  170;  4803;  609.28210;   201991637;  244587464
IDXNNQUANTILE; SOURCES; 16; 128;  764.60182;  179;  8680;  1274.71029;   175905261;  244587464
IDXNN; SOURCES; 16; 1;  96.26678;  79;  2887;  80.18858;   801766189;  244587464
IDXNNLG; SOURCES; 16; 1;  172.16232;  163;  2608;  80.77244;   593894487;  244587464
IDXNNQUANTILE; SOURCES; 32; 8;  262.52032;  241;  1447;  131.24139;   403332410;  244587464
IDXNNQUANTILE; SOURCES; 32; 16;  321.50532;  240;  4318;  295.27799;   290414500;  244587464
IDXNNQUANTILE; SOURCES; 32; 32;  821.15046;  481;  12294;  1220.74808;   214472671;  244587464
IDXNNQUANTILE; SOURCES; 32; 64;  1365.43826;  495;  21885;  2449.30002;   168585131;  244587464
IDXNNQUANTILE; SOURCES; 32; 128;  2322.35368;  436;  31155;  4170.36832;   142498755;  244587464
IDXNN; SOURCES; 32; 1;  109.30030;  76;  2895;  102.26146;   768359683;  244587464
IDXNNLG; SOURCES; 32; 1;  245.28176;  240;  2745;  92.28520;   560487981;  244587464
IDXNNQUANTILE; SOURCES; 64; 8;  433.20058;  384;  2651;  264.97870;   386688597;  244587464
IDXNNQUANTILE; SOURCES; 64; 16;  569.44758;  392;  4932;  616.57007;   273770687;  244587464
IDXNNQUANTILE; SOURCES; 64; 32;  896.94528;  401;  9076;  1360.83938;   197828858;  244587464
IDXNNQUANTILE; SOURCES; 64; 64;  1646.06204;  417;  17302;  2890.18558;   151941318;  244587464
IDXNNQUANTILE; SOURCES; 64; 128;  3265.30868;  443;  35316;  5887.62672;   125854942;  244587464
IDXNN; SOURCES; 64; 1;  134.59866;  80;  9373;  155.22479;   751715870;  244587464
IDXNNLG; SOURCES; 64; 1;  385.82680;  384;  3164;  122.44416;   543844168;  244587464
IDXNNQUANTILE; REVISIONS; 4; 8;  110.96258;  103;  3003;  126.38190;   1154076110;  419437304
IDXNNQUANTILE; REVISIONS; 4; 16;  95.73534;  89;  2699;  109.31957;   902042640;  419437304
IDXNNQUANTILE; REVISIONS; 4; 32;  105.50020;  96;  12520;  104.21335;   730501789;  419437304
IDXNNQUANTILE; REVISIONS; 4; 64;  105.80092;  90;  909;  66.90240;   630734174;  419437304
IDXNNQUANTILE; REVISIONS; 4; 128;  146.19678;  92;  1781;  160.50085;   578356603;  419437304
IDXNN; REVISIONS; 4; 1;  65.28268;  57;  3399;  127.73884;   1421785870;  419437304
IDXNNLG; REVISIONS; 4; 1;  103.10854;  97;  3745;  135.29306;   1033318437;  419437304
IDXNNQUANTILE; REVISIONS; 8; 8;  101.75610;  94;  2578;  121.94538;   914435446;  419437304
IDXNNQUANTILE; REVISIONS; 8; 16;  101.40898;  93;  2273;  108.65648;   662401976;  419437304
IDXNNQUANTILE; REVISIONS; 8; 32;  107.49744;  95;  1574;  85.24743;   490861125;  419437304
IDXNNQUANTILE; REVISIONS; 8; 64;  128.06582;  96;  1558;  120.14590;   391093510;  419437304
IDXNNQUANTILE; REVISIONS; 8; 128;  201.00350;  99;  2534;  289.58334;   338715939;  419437304
IDXNN; REVISIONS; 8; 1;  68.38154;  59;  3947;  133.73456;   1182145206;  419437304
IDXNNLG; REVISIONS; 8; 1;  94.24792;  91;  2857;  125.03225;   793677773;  419437304
IDXNNQUANTILE; REVISIONS; 16; 8;  118.48172;  110;  2628;  122.09064;   795025686;  419437304
IDXNNQUANTILE; REVISIONS; 16; 16;  120.72228;  110;  2370;  115.13547;   542992216;  419437304
IDXNNQUANTILE; REVISIONS; 16; 32;  134.28868;  111;  1800;  117.55841;   371451365;  419437304
IDXNNQUANTILE; REVISIONS; 16; 64;  176.47606;  114;  2442;  225.76877;   271683750;  419437304
IDXNNQUANTILE; REVISIONS; 16; 128;  310.23088;  117;  4533;  537.11524;   219306179;  419437304
IDXNN; REVISIONS; 16; 1;  66.10628;  57;  2664;  126.22010;   1062735446;  419437304
IDXNNLG; REVISIONS; 16; 1;  111.11210;  107;  2832;  127.07242;   674268013;  419437304
IDXNNQUANTILE; REVISIONS; 32; 8;  150.72856;  141;  2666;  122.93222;   735526686;  419437304
IDXNNQUANTILE; REVISIONS; 32; 16;  157.26994;  141;  2439;  127.45160;   483493216;  419437304
IDXNNQUANTILE; REVISIONS; 32; 32;  187.33996;  143;  3219;  202.24629;   311952365;  419437304
IDXNNQUANTILE; REVISIONS; 32; 64;  272.89346;  147;  3889;  445.33603;   212184750;  419437304
IDXNNQUANTILE; REVISIONS; 32; 128;  530.71580;  149;  8248;  1050.06474;   159807179;  419437304
IDXNN; REVISIONS; 32; 1;  82.76440;  65;  3832;  141.21108;   1003236446;  419437304
IDXNNLG; REVISIONS; 32; 1;  141.97014;  136;  2761;  126.98102;   614769013;  419437304
IDXNNQUANTILE; REVISIONS; 64; 8;  212.28442;  199;  2656;  130.00601;   705879798;  419437304
IDXNNQUANTILE; REVISIONS; 64; 16;  227.73208;  200;  2490;  174.41564;   453846328;  419437304
IDXNNQUANTILE; REVISIONS; 64; 32;  287.34132;  202;  5228;  386.98014;   282305477;  419437304
IDXNNQUANTILE; REVISIONS; 64; 64;  461.48966;  205;  7807;  898.38237;   182537862;  419437304
IDXNNQUANTILE; REVISIONS; 64; 128;  980.26804;  210;  16364;  2105.36946;   130160291;  419437304
IDXNN; REVISIONS; 64; 1;  104.08796;  65;  5480;  172.55884;   973589558;  419437304
IDXNNLG; REVISIONS; 64; 1;  203.78480;  194;  2815;  131.97664;   585122125;  419437304
